bilinear-0.6,bilinear-2.0
0.06558788,0.081894867
0.088338801,0.122445921
0.064186689,0.091570525
0.101672985,0.10674623
0.068455973,0.091069059
0.063585955,0.089254124
0.04572083,0.087985678
0.07868027,0.127313967
0.102156346,0.120410815
0.071686722,0.100782501
0.084550205,0.151095369
0.089676114,0.095528147
0.074829184,0.116234302
0.060072971,0.098253859
0.158780867,0.187048523
0.115074724,0.164075395
0.057657161,0.089616713
0.074797555,0.089605515
0.074818572,0.11346341
0.077026938,0.107463517
0.109818296,0.162040784
0.036647715,0.064250525
0.052704183,0.101496564
0.038071286,0.06835245
0.06537285,0.099955278
0.068230404,0.104713625
0.087238325,0.106942928
0.141620694,0.198341024
0.080877256,0.119894224
0.06886544,0.091662852
0.100553671,0.166926771
0.087072575,0.138668443
0.071183856,0.103016284
0.056108413,0.079575031
0.093414242,0.112797588
0.041932043,0.088421928
0.040649077,0.06877075
0.076810367,0.107744116
0.167942562,0.220114178
0.136747651,0.158184926
0.129544368,0.143241331
0.108791768,0.120248896
0.100259208,0.109434757
0.135826197,0.133082022
0.118985564,0.160525391
0.063614337,0.095611156
0.151655244,0.166156999
0.090192465,0.118292739
0.087839352,0.104479337
0.09784382,0.113986261
0.158827377,0.151614613
0.144623526,0.225756416
0.152501828,0.217189288
0.16862346,0.191607731
0.088515461,0.124922169
0.109070215,0.133094326
0.110287133,0.134484617
0.185676193,0.16269696
0.104291399,0.135770853
0.09710781,0.11891248
0.065058438,0.093405957
0.088291819,0.11669169
0.120128581,0.156527026
0.094888753,0.130065034
0.105219813,0.136044327
0.08618292,0.110519942
0.113365269,0.172554989
0.057189367,0.09914627
0.072319238,0.111475971
0.095829244,0.141917069
0.169088285,0.225466539
0.180318406,0.220094316
0.191031992,0.215719782
0.168211065,0.192065487
0.075169261,0.120517998
0.139606533,0.218417859
0.168993656,0.153021639
0.047806424,0.075830967
0.078317466,0.112491362
0.08049134,0.081639617
0.146202258,0.168249878
0.077585877,0.093986958
0.076290062,0.116965102
0.03317299,0.07742403
0.036359664,0.064310632
0.033473148,0.073889928
0.064457248,0.084762345
0.043808494,0.078189239
0.052782746,0.09803081
0.079980478,0.123647904
0.044810634,0.069133024
0.078804069,0.124155349
0.058848584,0.095228868
0.051558379,0.090750305
0.033561188,0.064847333
0.033892638,0.066412853
0.043684241,0.083687628
0.066555387,0.101234936
0.051810894,0.095608124
0.059415554,0.106911653
0.083921147,0.123969591
0.078819253,0.111560689
0.096503748,0.117898465
0.110113152,0.110471845
0.121203334,0.137370208
0.08474606,0.113151312
0.071369081,0.114459499
0.08432862,0.137666475
0.099748559,0.139987657
0.065622338,0.119422391
0.069376387,0.116381512
0.097972516,0.131282009
0.068846558,0.108051162
0.13472193,0.145292568
0.106321912,0.136514249
0.123141157,0.147742331
0.090231558,0.135790659
0.061670936,0.090998477
0.097144129,0.133271959
0.06479095,0.086062215
0.124494607,0.162974719
0.103905721,0.1661855
0.104550362,0.157161372
0.111962181,0.176931833
0.130411198,0.175495476
0.095114902,0.138293966
0.103655532,0.146759076
0.083662745,0.118978672
0.078067264,0.109139241
0.071135312,0.113093783
0.082046909,0.145653417
0.043187326,0.074850198
0.054129382,0.082613841
0.05401221,0.079668125
0.045557993,0.075522633
0.075500231,0.085624335
0.060042615,0.098800036
0.061642216,0.102575479
0.060045749,0.091157405
0.093727472,0.09545112
0.056644108,0.085515239
0.044284287,0.077067159
0.062610693,0.101911259
0.079998976,0.111501834
0.106320423,0.138731466
0.270490734,0.214996903
0.133622974,0.131842493
0.09763696,0.113127783
0.084077595,0.134198071
0.074908498,0.12989454
0.057499087,0.092401653
0.068468698,0.125256898
0.073289824,0.096762916
0.100174829,0.116525618
0.08296789,0.108309468
0.082695241,0.118363954
0.068051957,0.100643853
0.054591908,0.098560658
0.062011397,0.105386491
0.055371211,0.083475542
0.043080177,0.075545453
0.06207456,0.088628179
0.058482718,0.094205119
0.0527249,0.090967654
0.061126837,0.085994392
0.049436756,0.080640214
0.116806293,0.158441568
0.101003787,0.132383556
0.089326259,0.14120672
0.095179502,0.156493985
0.084533643,0.141011736
0.093872505,0.151896686
0.09254217,0.13704401
0.055695087,0.084978572
0.059177749,0.10054565
0.11475253,0.1365985
0.076477743,0.118292584
0.051458725,0.092398368
0.04650268,0.089277003
0.112603008,0.141845445
0.094172998,0.14086647
0.082600658,0.118683577
0.074575761,0.107436802
0.068760566,0.110731396
0.098498686,0.154343422
0.101706049,0.151645841
0.06980357,0.135050314
0.049545694,0.093470733
0.061197389,0.105504816
0.059337367,0.121227596
0.062207408,0.11827838
0.092811613,0.104903751
0.083076826,0.110865164
0.039132141,0.075681625
0.046351886,0.076746059
0.064308622,0.098308717
0.054965172,0.093659427
0.041836679,0.083221715
0.036452059,0.075115666
0.027132498,0.065306056
0.034934571,0.075244127
0.115556586,0.123048919
0.056103011,0.091353003
0.047068806,0.084486255
0.053780974,0.093731703
0.086706833,0.140763749
0.081384688,0.14904584
0.082286867,0.161772298
0.045994968,0.094792209
0.114963466,0.171892515
0.076728608,0.134613987
0.107871987,0.211497644
0.087409389,0.161538873
0.084593259,0.131550781
0.053804379,0.089379724
0.064964097,0.100205679
0.054791341,0.097259019
0.05916055,0.101532915
0.09404581,0.151035733
0.120894375,0.131667235
0.105352493,0.225082323
0.155732427,0.228865862
0.160339504,0.198649377
0.159803863,0.238777401
0.119552688,0.133456807
0.128198017,0.120902657
0.168624488,0.215499266
0.177385261,0.202995198
0.149260606,0.237648899
0.158199474,0.190511457
0.096673783,0.153461185
0.09346216,0.15129932
0.091556198,0.143834945
0.113569088,0.14527582
0.117681876,0.180272382
0.100144774,0.141306645
0.128164683,0.157362064
0.131770919,0.220631836
0.091732912,0.149683001
0.083582886,0.106191729
0.046825065,0.087150866
0.058051437,0.093690766
0.089306121,0.144150468
0.11683863,0.175806826
0.152670782,0.215239238
0.103550916,0.133278966
0.27575945,0.306038075
0.221717408,0.245736563
0.266334643,0.315842938
0.10996659,0.158192959
0.132458713,0.205793756
0.111075507,0.11947563
0.122283867,0.172250025
0.114243902,0.13848968
0.145021157,0.167539707
0.126149343,0.170887798
0.165435705,0.187414604
0.145931377,0.138663043
0.12549959,0.126601007
0.148973661,0.149217397
0.099440308,0.120777617
0.132708374,0.142872721
0.12584006,0.130413961
0.110210798,0.129545129
0.096145298,0.128612834
0.094546297,0.122496761
0.088131895,0.113141386
0.089332216,0.118834668
0.086265427,0.096548529
0.108972519,0.122345754
0.16361983,0.199509441
0.176306392,0.179570267
0.208699987,0.223836305
0.166948597,0.15796545
0.130810696,0.138236096
0.171073918,0.166465264
0.148703567,0.163009868
0.095189973,0.12461868
0.10802374,0.123385015
0.138055444,0.18312722
0.099568112,0.109972578
0.182484104,0.221640519
0.124407925,0.130166646
0.119040731,0.159934943
0.119419575,0.158771184
0.09151182,0.149920186
0.089562564,0.131261915
0.062179522,0.082685178
0.082869244,0.104582679
0.108537907,0.14928548
0.121747185,0.1595856
0.112404347,0.156589078
0.115783403,0.153156832
0.087710628,0.102832128
0.078863427,0.10636348
0.168598831,0.215970383
0.119844294,0.1456007
0.179683171,0.172066234
0.073490894,0.096551423
0.148564471,0.166458112
0.158052145,0.165207881
0.123644946,0.215644104
0.132343085,0.169781352
0.077104298,0.099460198
0.101777289,0.128001734
0.183086938,0.218502439
0.202569544,0.245715307
0.135892279,0.234481994
0.152465232,0.214908749
0.16974988,0.274096235
0.225566206,0.247949803
0.170040641,0.232803388
0.169091154,0.201032543
0.189256989,0.273734093
0.134650945,0.207667602
0.153664575,0.227322071
0.129617953,0.191904979
0.184998057,0.30760305
0.081008795,0.122164536
0.083335658,0.132800247
0.092444962,0.131410472
0.141906772,0.179359631
0.121516434,0.157451487
0.178227801,0.238249019
0.135821077,0.161656518
0.23873461,0.186845645
0.183558924,0.237453671
0.252061187,0.276056879
0.092077543,0.128316041
0.161632794,0.168251976
0.199173051,0.167081004
0.110185005,0.15503121
0.144731218,0.115314483
0.148036977,0.125676011
0.130737622,0.120274714
0.197207281,0.210279285
0.193009093,0.168721316
0.099496016,0.158113632
0.046861329,0.080143386
0.039603543,0.071172797
0.023563473,0.065050239
0.036017852,0.080568865
0.039118661,0.073913099
0.086424948,0.135447115
0.058242059,0.073647024
0.100477343,0.136049201
0.120832762,0.136665237
0.079329291,0.112333434
0.05446761,0.102966058
0.045680238,0.089987171
0.127884429,0.194599302
0.133077196,0.171732137
0.047503958,0.056741468
0.036796518,0.074432806
0.069939801,0.100475636
0.042061691,0.073492852
0.044999136,0.073508515
0.204040309,0.19450866
0.176332193,0.211739123
0.135185287,0.126826025
0.172977107,0.160628127
0.046957277,0.079342926
0.054717472,0.086327899
0.052094516,0.09358924
0.11473698,0.137172921
0.12118469,0.143653183
0.117459408,0.146384852
0.166426437,0.19730554
0.110193995,0.135535844
0.113131905,0.128549075
0.112178046,0.151886976
0.138950948,0.188504491
0.125769208,0.13896764
0.068304209,0.088606962
0.108851567,0.144985616
0.100600004,0.145010907
0.032557132,0.044279331
0.035222124,0.055684224
0.14283151,0.086097829
0.086546052,0.13015084
0.090827488,0.117883051
0.164082624,0.161140723
0.10822582,0.112531554
0.130795361,0.150878983
0.127451161,0.081538575
0.081555082,0.13313576
0.136472492,0.182171491
0.136046127,0.149535031
0.172141122,0.190212344
0.141440785,0.141901778
0.081417538,0.116583914
0.048143388,0.079103208
0.030589769,0.070006194
0.099374423,0.123770349
0.111942061,0.142674931
0.12224168,0.130053321
0.132124128,0.137823328
0.092282267,0.149110883
0.034933608,0.067484409
0.069279341,0.097869618
0.035641431,0.061176078
0.045840907,0.06866234
0.062225223,0.089390617
0.035642967,0.074632499
0.038554686,0.076390206
0.084377192,0.099249693
0.047753408,0.092075849
0.054262615,0.069103927
0.05297215,0.068500965
0.058108435,0.074055944
0.035272737,0.074064679
0.092260957,0.11675991
0.036313112,0.067540864
0.049259302,0.069601104
0.106434125,0.140476748
0.098482463,0.153566352
0.155106958,0.184125422
0.122028353,0.156229875
0.154392332,0.23319232
0.165539948,0.193258189
0.111164372,0.139042281
0.202535484,0.170999322
0.158721316,0.171767561
0.118464347,0.156272776
0.090728687,0.128019025
0.125044023,0.150840748
0.13352231,0.160149564
0.143427418,0.16911912
0.212396291,0.183528062
0.157514716,0.152761625
0.08535316,0.097436409
0.116849605,0.128369247
0.204147533,0.248166682
0.223361785,0.264220541
0.16215508,0.199994576
0.099573344,0.103579236
0.088384321,0.108546803
0.088675126,0.123785251
0.099105784,0.106140146
0.059940786,0.096369602
0.052876172,0.087879286
0.09876581,0.13723021
0.101811886,0.141385846
0.119124921,0.138519052
0.173933339,0.195809483
0.102520586,0.133712887
0.158601877,0.153238047
0.159116823,0.163957328
0.098940856,0.127188057
0.184285773,0.192934988
0.103166902,0.162712749
0.04560711,0.083902866
0.104643299,0.165886444
0.09730189,0.156267747
0.106584968,0.169807646
0.104231039,0.163967792
0.142952794,0.186048311
0.117506185,0.170267615
0.094375862,0.114238406
0.109525663,0.120984534
0.115932325,0.101694191
0.102225198,0.137913666
0.088986594,0.094675349
0.106480956,0.119215834
0.115049949,0.125815889
0.072378357,0.119515014
0.14862754,0.177176036
0.173482486,0.230541499
0.121997539,0.172076672
0.11026045,0.16664773
0.182647957,0.221039386
0.126069712,0.158064902
0.152632311,0.192607118
0.096492371,0.141540488
0.090025266,0.132683659
0.134703594,0.168638451
0.159911892,0.165403969
0.146005956,0.11975147
0.178440957,0.200141721
0.158631874,0.211013162
0.128515328,0.14006854
0.096168697,0.165763542
0.157401217,0.234634954
0.095379892,0.144135895
0.105631676,0.164600557
0.1490993,0.207608917
0.169029344,0.193234703
0.096806286,0.115932494
0.112142518,0.148872901
0.171327149,0.178522394
0.143847518,0.167374524
0.079618948,0.100333719
0.09594974,0.123837936
0.109633321,0.154662953
0.19131271,0.23949119
0.098346827,0.19365002
0.101526641,0.17102055
0.173928751,0.220609613
0.244451788,0.292517252
0.238829303,0.334194833
0.208807093,0.289398772
0.06871754,0.097910734
0.038105036,0.06956673
0.067561014,0.097619533
0.062156001,0.087167909
0.10688929,0.12565121
0.115421834,0.107679393
0.120607117,0.118648821
0.09734753,0.12756761
0.034445128,0.074992632
0.039564827,0.085243408
0.120769575,0.112270784
0.061063265,0.093118931
0.044750496,0.085015357
0.058287736,0.079286576
0.05277409,0.081698854
0.040154644,0.06163125
0.029548535,0.068793307
0.072613701,0.107949359
0.042738469,0.089885781
0.06856615,0.082234555
0.049494553,0.071068381
0.138794666,0.184174391
0.085393459,0.111893583
0.060698226,0.086294172
0.120930139,0.146933478
0.079292186,0.15432282
0.144102924,0.137978737
0.098120981,0.153875319
0.109474975,0.144173675
0.087281279,0.103265586
0.126580271,0.140201082
0.144503493,0.149436365
0.161462433,0.27032433
0.163660857,0.184967476
0.099349125,0.176011832
0.215154075,0.171127144
0.247705168,0.173727932
0.212569444,0.297628109
0.140320728,0.253749155
0.222942407,0.260020693
0.225282009,0.245421998
0.222330588,0.274819791
0.239593118,0.242498607
0.242530692,0.257171905
0.219605787,0.222993515
0.234864293,0.246347808
0.223414614,0.282109338
0.239745234,0.314708746
0.201673639,0.201652752
0.221028655,0.306760871
0.226552792,0.275229059
0.199402165,0.218913798
0.163344393,0.177961259
0.193600058,0.213753725
0.242003205,0.24051496
0.202125524,0.247903984
0.168661552,0.19589262
0.224056227,0.250902945
0.217240547,0.253955068
0.157994039,0.210217407
0.240936329,0.276745976
0.160039008,0.163889243
0.113903518,0.117620222
0.094589238,0.100765434
0.124228078,0.139425168
0.093270021,0.117565588
0.101087212,0.171723992
0.158658838,0.13378809
0.103553326,0.133658049
0.123415571,0.156073704
0.306525061,0.366687981
0.173087221,0.16945249
0.225512686,0.185782551
0.111512567,0.135332198
0.180159714,0.212765262
0.199533566,0.270403333
0.177979258,0.240646761
0.165403227,0.217101999
0.168753684,0.228374171
0.062825942,0.106296508
0.114219863,0.133511672
0.20694945,0.212027013
0.19600206,0.192291601
0.197169123,0.196631922
0.188671778,0.212472367
0.161373486,0.183992486
0.143096985,0.138547662
0.158284738,0.187020586
0.123726035,0.16467964
0.161454165,0.1603398
0.181926416,0.216894013
0.215402714,0.326957516
0.164447095,0.129742783
0.205224821,0.219297946
0.135025519,0.208838627
0.177645032,0.206829593
0.146397691,0.2259902
0.157796615,0.212675004
0.171749364,0.20518963
0.199908971,0.210838609
0.206347889,0.190992427
0.21442025,0.163312587
0.165424185,0.230713219
0.176705769,0.208358759
0.131409371,0.162775298
0.151921699,0.155637656
0.148139821,0.209380075
0.120401544,0.1650323
0.143116007,0.163988615
0.111239862,0.168958836
0.117719886,0.126658165
0.197601691,0.175459302
0.219485171,0.297056362
0.196916758,0.267965455
0.179756013,0.289192938
0.12201285,0.128003378
0.163061519,0.231546561
0.155360252,0.247372576
0.101899048,0.153543617
0.069176004,0.113385744
0.066233033,0.116946588
0.065841415,0.099708176
0.179607166,0.224370046
0.138637202,0.187627794
0.143017615,0.184924767
0.121280398,0.15896848
0.049918403,0.107861597
0.044792975,0.090447523
0.160826338,0.210456605
0.166321809,0.203192229
0.158976965,0.233218862
0.158676312,0.22705169
0.186914694,0.187735373
0.188077166,0.219608411
0.19787134,0.20453096
0.166627879,0.187590043
0.075535062,0.125037576
0.072918006,0.117519866
0.117829696,0.156712854
0.137487933,0.186288401
0.082925496,0.125144529
0.09151949,0.138587416
0.152871457,0.183615086
0.112153743,0.160985745
0.18309139,0.218742803
0.158782658,0.186054019
0.118422887,0.185878679
0.189554181,0.250013986
0.154082594,0.177189355
0.189456637,0.199189416
0.167350417,0.200713263
0.107901142,0.154992232
0.100305508,0.142194798
0.200619409,0.208635315
0.15678594,0.220400843
0.133942145,0.149769078
0.128098387,0.185585098
0.132686524,0.146014373
0.108652236,0.163224382
0.066662462,0.107166132
0.071002871,0.116346137
0.056630715,0.103433538
0.072628504,0.111826814
0.078254865,0.126645936
0.084853519,0.099421203
0.136844878,0.167527328
0.091268127,0.143174143
